Order1	OTU_names	Sgenus	Good_ClassComp	Good_Class	Genus
143	5eb0eb65c63a2a5336ab6f490d06a3ec	Lactobacillus	Lactobacillus_crispatus+	Lactobacillus_crispatus+	Lactobacillus
144	ef9bffda83b7cf61eeb185687c7cbf11	Lactobacillus	Lactobacillus_crispatus+	Lactobacillus_crispatus+	Lactobacillus
145	afaca9b49af3c66b6ad6b933d262a67e	Lactobacillus	Lactobacillus_crispatus+	Lactobacillus_crispatus+	Lactobacillus
146	63cd20d524cb4856ade3b488f180b88d	Lactobacillus	Lactobacillus_jensenii+	Lactobacillus_jensenii+	Lactobacillus
147	998f079edd3b91c626a01abac37b69a6	Lactobacillus	Lactobacillus_jensenii+	Lactobacillus_jensenii+	Lactobacillus
148	80948867053302368e4130c0ed868c55	Lactobacillus	Lactobacillus_acidophilus_Lactobacillus_crispatus_or_Lactobacillus_gallinarum	Lactobacillus_acidophilus*	Lactobacillus
149	7d4f563129c09910592ced1e135c6d84	Lactobacillus	Lactobacillus_acidophilus_Lactobacillus_crispatus_or_Lactobacillus_gallinarum	Lactobacillus_acidophilus*	Lactobacillus
150	4013e5116191177db85096f176895258	Lactobacillus	Lactobacillus_acidophilus_Lactobacillus_crispatus_or_Lactobacillus_gallinarum	Lactobacillus_acidophilus*	Lactobacillus
151	a50daebb45e418f662b5a4a3dd70f6e4	Lactobacillus	Lactobacillus_acidophilus_Lactobacillus_crispatus_or_Lactobacillus_gallinarum	Lactobacillus_acidophilus*	Lactobacillus
152	474fed1b226d5375aaa8d9cd7edb9505	Lactobacillus	Lactobacillus_acidophilus_Lactobacillus_crispatus_or_Lactobacillus_gallinarum	Lactobacillus_acidophilus*	Lactobacillus
153	3bba5fdea9f67041c79c61ad126b1c3f	Lactobacillus	Lactobacillus_crispatus+	Lactobacillus_crispatus+	Lactobacillus
154	3f235d82a7fbbb033505ee91114649c0	Lactobacillus	Lactobacillus_crispatus+	Lactobacillus_crispatus+	Lactobacillus
155	145e67d8a1391c92da76d4b497944f69	Lactobacillus	Lactobacillus_crispatus+	Lactobacillus_crispatus+	Lactobacillus
156	b0daecaeba406d1ecdfe059436a18c09	Lactobacillus	Lactobacillus_crispatus+	Lactobacillus_crispatus+	Lactobacillus
157	bff22ff085b93fbc6107e399cb4107af	Lactobacillus	Lactobacillus_crispatus+	Lactobacillus_crispatus+	Lactobacillus
158	d8443563d124801fd0c8635d1583b5fc	Lactobacillus	Lactobacillus_acidophilus_Lactobacillus_crispatus_or_Lactobacillus_gallinarum	Lactobacillus_acidophilus*	Lactobacillus
159	bcbeacabd2e5943e62e7a4ff9d62eeec	Lactobacillus	Lactobacillus_acidophilus_Lactobacillus_crispatus_or_Lactobacillus_gallinarum	Lactobacillus_acidophilus*	Lactobacillus
160	d5207adc73beca0b62a6144cf268dbaf	Lactobacillus	Lactobacillus_acidophilus_Lactobacillus_crispatus_or_Lactobacillus_gallinarum	Lactobacillus_acidophilus*	Lactobacillus
